Rank,Song,Artist,Year,Topic Rank,Single Rank,Position Rank,Multipartite Rank
57,2 Phones,Kevin Gates,2016,phones;ring;trap;money;countin;load;plug;bitches;dough;everything;lot;new;way;section;rim;amazing;attempts;new;numbers;gym,i;m;ring;ring;more;trap;bodyguard;new;phone;phones;biz;foreman;new;bread;water;money;amazing;phone;gym;kids,ring;ring;more;phones;trap;plug;load;bodyguard;countin;money;dough;jumpin;bitches;deal;bet;new;new;bread;phone;foreman,phones;ring;trap;money;countin;load;plug;bitches;dough;everything;lot;new;way;section;rim;amazing;new;attempts;hater;numbers
58,Starboy,The Weeknd,2016,starboy;motherfuckin;empty;centerpiece;racks;table;house;ebony;ivory;nigga;skinny;money;baby;face;hearing;style;lane;cup;shade;pain,lavish;new;brand;empty;bandit;whole;fall;ebony;nigga;skinny;cars;nigga;church;p1;main;khan;grocery;worst;face;motherfuckin,worst;church;p1;milli;red;new;empty;whole;ebony;main;skinny;side;face;cars;nigga;motherfuckin;none;table;year;nigga,starboy;motherfuckin;empty;centerpiece;racks;house;table;ebony;ivory;nigga;skinny;league;money;baby;main;face;hearing;whole;style;lane
59,For Free,DJ Khaled,2016,free;girls;good;sex;time;day;drake;yeah;superpowers;anthem;freak;agua;stomach;flat;prince;home;future;pussy;workin;night,college;dip;best;drama;flat;best;words;last;own;free;superpowers;freak;double;girl;time;real;dj;major;day;tour,best;best;major;dj;last;flat;day;girls;drama;compton;anthem;dick;sex;words;hours;girl;night;fuck;hennessy;workin,free;girls;good;sex;time;day;superpowers;drake;yeah;freak;anthem;agua;home;prince;stomach;workin;flat;future;compton;boy
60,Never Be Like You,Flume,2016,everything;okay;face;mistake;human;fucking;darling;sins;knees;fickle;allegiance;pain;hate;fake;wanna;anything;fear;way;baby;easy,fickle;fake;fucking;baby;face;darling;own;hate;'cause;okay;everything;pain;allegiance;fear;easy;c'mon;sins;knees;way;wanna,fear;allegiance;pain;fickle;fake;face;everything;'cause;fucking;anything;darling;mistake;sins;baby;hate;knees;wanna;way;c'mon;eyes,everything;okay;face;mistake;human;fucking;darling;sins;knees;fickle;allegiance;pain;hate;fake;wanna;anything;fear;way;baby;easy
61,In the Night,The Weeknd,2016,night;dollar;tears;time;fallin;crawlin;dancin;livin;face;anything;baby;capable;young;pain;song;riveting;beginnin;end;life;religion,dollar;time;baby;young;night;livin;numb;tears;anything;capable;song;baby;beginnin;end;minute;crawlin;fallin;life;riveting;unforgiving,baby;livin;end;baby;life;world;feelin;dollar;night;time;tears;crawlin;fallin;anything;face;song;pain;minute;woman;wrongs,night;dollar;time;tears;fallin;crawlin;livin;baby;dancin;anything;face;capable;young;pain;beginnin;riveting;song;end;life;religion
62,Me Too,Meghan Trainor,2016,wanna;god;day;feelin;way;nobody;entourage;drinks;life;movie;respect;gold;neck;vip;icy;baby;dime;mirror;bass;sexy,icy;movie;sexy;dime;day;god;ow;feelin;entourage;life;neck;vip;drinks;way;baby;wanna;gold;bass;respect;mirror,icy;ow;sexy;bass;god;wanna;day;feelin;neck;dime;mirror;gold;way;respect;movie;vip;entourage;life;drinks;baby,wanna;god;day;feelin;way;nobody;entourage;drinks;life;movie;respect;gold;neck;vip;icy;baby;dime;mirror;bass;sexy
63,Ex's & Oh's,Elle King,2016,better;warm;new;gho;winter;low;hearts;sailing;seasons;spring;high;seas;heads;best;things;man;mountains;name;whoa;california,summer;better;new;o;ex;'cause;best;warm;things;man;heads;ex;hearts;low;high;uk;seas;sailing;mountains;gho,man;things;boy;better;whoa;summer;o;'cause;ex;best;new;ex;name;uk;california;winter;spring;heads;hearts;getaway,better;gho;new;warm;name;sailing;low;hearts;winter;seasons;high;spring;things;best;man;seas;california;whoa;heads;summer
64,Die a Happy Man,Thomas Rhett,2016,hands;baby;happy;best;red;eiffel;crazy;life;hottest;cutest;fancy;northern;masterpiece;goddess;wine;september;bottle;look;pourin;eyes,happy;happy;baby;happy;happy;true;baby;crazy;marvin;september;sports;great;home;red;northern;black;best;radio;hand;wildest,happy;happy;happy;baby;last;best;night;hand;red;eiffel;hands;black;marvin;september;northern;doubt;great;crazy;bottle;look,baby;hands;happy;best;baby;bottle;wine;doubt;red;look;eyes;september;marvin;eiffel;dark;crazy;pourin;life;night;rain
65,White Iverson,Post Malone,2016,ballin;shot;swaggin;spendin;saucin;iverson;new;bitch;fuckin;money;head;pay;ring;young;double;gold;black;dead;jordans;davis,dead;magic;headband;white;head;bread;new;ballin;lesson;ooh;nothin';money;double;white;spendin;bitch;new;kd;saucin;hoes,double;kd;white;new;saucin;white;ballin;money;coca;iverson;og;lesson;money;spendin;bitch;headband;bread;head;dead;nothin',ballin;shot;swaggin;saucin;spendin;iverson;new;bitch;double;fuckin;money;head;white;ring;pay;young;gold;headband;dead;new
66,Close,Nick Jonas,2016,close;afraid;word;someone;ooh;space;mind;soul;heart;body;perplexed;tongue;lips;baby;cool;shocking;speechless;things;breath;careful,'cause;close;close;perplexed;someone;'cause;cool;words;space;word;lips;tongue;afraid;body;soul;mind;heart;shocking;breath;ooh,'cause;close;breath;space;someone;'cause;word;heart;mind;soul;body;ooh;words;tongue;lips;baby;things;proof,close;afraid;word;someone;ooh;space;mind;soul;heart;body;perplexed;tongue;lips;baby;cool;shocking;speechless;things;breath;careful
67,Unsteady,X Ambassadors,2016,little;hold;dad;alone;approach;house;tired;home,little;little;little;little;hold;'cause;alone;dad;approach;house;tired;home,little;little;hold;'cause;dad;approach;house;home,hold;little;dad;alone;little;approach;house;tired;home;little;little
68,Sucker for Pain,Lil Wayne Wiz Khalifa,2016,pain;sucker;beggin;flames;hand;squad;pressure;slave;oooohh;games;lord;slow;fam;head;city;world;tongue;throat;train;cause,more;pain;pain;boat;heart;fam;sucker;finna;beggin;full;dog;devil;jealous;north;crazy;detrimental;lil;lord;young;lost,more;pain;flames;pain;hand;slave;sucker;beggin;fam;games;dog;shoulders;witnesses;full;pressure;fam;squad;devil;world;oooohh,pain;sucker;pain;beggin;flames;hand;squad;pressure;oooohh;ign;slave;games;fam;slow;lord;city;head;ankles;toes;world
69,Down in the DM,Yo Gotti,2016,pussy;cool;angela;girl;eyes;man;damn;crush;boy;gram;bold;let;world;facetime;dm;everybody;sucker;talkin;body;bitch,pussy;dm;dm;angela;pussy;damn;bm;cool;girl;angela;sucker;eyes;bold;crush;everybody;boy;let;world;body;talkin,dm;pussy;dm;bm;pussy;girl;eyes;sucker;angela;body;world;damn;facetime;let;everybody;angela;man;talkin;bitch;crush,pussy;cool;angela;girl;eyes;pussy;man;boy;crush;facetime;damn;gram;bold;angela;let;world;dm;everybody;sucker;talkin
70,Luv,Tory Lanez,2016,day;everyone;mmm;love;first;crime;girl;morning;deep;way;long;oops;henny;true;town;bad;night;visa;fallin;someone,long;way;deep;day;stray;baby;highway;baby;first;other;crime;time;neefi;everyone;night;love;way;deep;town;morning,day;way;stray;deep;baby;highway;baby;first;time;crime;everyone;neefi;love;henny;way;other;girl;morning;oops;night,day;everyone;mmm;love;baby;first;bad;crime;girl;henny;way;deep;morning;long;oops;way;neefi;true;town;night
71,Sorry,Beyoncé,2016,sorry;middle;boy;nah;hands;fuck;good;face;hell;becky;good;high;suck;deuces;hallway;balls;note;eyes;night;tear,good;good;sorry;good;sorry;hell;balls;middle;hands;fucking;back;sorry;nah;fuck;deuces;boy;boppers;hallway;note;alright,sorry;hell;nah;middle;hell;balls;boy;headed;club;good;watch;fuck;hands;deuces;good;today;good;cups;suck;face,sorry;middle;boy;hands;fuck;nah;face;high;good;hell;deuces;suck;sorry;balls;becky;good;toast;enough;hallway;tear
72,Can't Feel My Face,The Weeknd,2016,least;face;worst;best;numb;deep;necessary;death;love;misery;alone;girl;beautiful;young,least;numb;worst;love;deep;necessary;misery;face;alone;best;death;young;beautiful;girl,death;face;misery;love;girl,least;face;worst;best;numb;deep;necessary;death;love;misery;alone;girl;beautiful;young
73,Hymn for the Weekend,Coldplay,2016,high;drunk;sky;wings;pour;symphony;life;drink;love;angel;low;blood;drug;enough;stars;miles;thirsty;river;flood;world,low;sky;heavy;symphony;world;love;drink;life;drunk;wings;i;about;river;drug;sky;high;stars;miles;blood;angel,sky;symphony;heavy;sky;world;i;angel;pour;wings;drink;love;life;drug;stars;river;blood;miles;flood,high;sky;pour;drunk;wings;sky;symphony;life;drink;love;angel;heavy;low;blood;drug;enough;miles;stars;river;world
74,Say It,Tory Lanez,2016,foreign;young;lil;less;baby;time;shawty;need;truth;love;things;dough;door;honest;body;whippin;different;low;keepin;gots,young;foreign;foreign;foreign;lil;different;baby;less;body;baby;truth;shawty;dough;need;love;time;honest;things;whippin;door,young;foreign;foreign;foreign;keepin;lil;shawty;truth;love;baby;whippin;need;things;baby;low;dough;time;gots;door;different,foreign;young;lil;less;baby;time;foreign;shawty;things;baby;love;truth;whippin;need;dough;honest;door;keepin;foreign;low
75,Antidote,Travis Scott,2016,night;ooh;show;antidote;poppin;nigga;front;pills;lowkey;window;bitch;hills;different;hoes;kickin;day;crazy;yeah;fuckin;kids,night;night;night;night;show;late;late;show;night;ooh;different;ages;day;satan;front;old;antidote;h;kickin;pills,night;night;night;night;show;late;late;show;night;ooh;antidote;pills;window;poppin;front;hills;old;sunday;lowkey;young,night;ooh;show;night;antidote;front;poppin;nigga;lowkey;pills;window;bitch;night;hills;hoes;yeah;day;different;kickin;fuckin
76,Lost Boy,Ruth B,2016,lost;neverland;home;run;peter;captain;free;reality;bell;perfect;woods;sweet;day;peacefully;feet;green;cloud;sand;beautiful;man,lost;lost;free;last;free;captain;peter;bell;neverland;beautiful;only;home;free;sweetest;place;shadow;man;perfect;run;pixie,only;lost;lost;place;time;free;man;peter;moon;captain;neverland;bell;home;sweetest;shadow;run;night;eyes;perfect;beautiful,lost;neverland;home;run;peter;captain;free;reality;bell;woods;perfect;sweet;day;peacefully;free;feet;last;green;free;sand
77,Side to Side,Ariana Grande,2016,side;walkin;boy;day;night;talkin;fresh;way;much;friends;stephanie;body;flows;blow;new;minaj;young;tricycle;rap;queen,flow;wrist;young;stephanie;gum;fresh;young;blue;pop;much;side;new;tiffany;type;talkin;'cause;friends;bad;body;walkin,side;day;boy;walkin;night;talkin;new;much;fresh;stephanie;gum;young;friends;body;way;bad;'cause;nothin';pop;type,side;walkin;boy;day;night;talkin;way;fresh;much;friends;stephanie;flows;body;much;new;blow;minaj;young;tricycle;type
78,Sit Still Look Pretty,Daya,2016,pretty;girl;picket;sit;dream;trophy;barbie;gal;boy;free;captivity;queen;men;hurts;string;diamond;life;expensive;chores;sugar,pretty;pretty;pretty;pretty;pretty;other;barbie;diamond;world;expensive;girl;trophy;picket;sugar;snow;only;sit;boy;dream;'cause,pretty;pretty;pretty;pretty;barbie;world;other;girl;diamond;expensive;picket;trophy;sit;boy;dumb;love;dream;only;toy;puppet,pretty;girl;sit;picket;barbie;dream;trophy;gal;boy;world;free;pretty;pretty;captivity;diamond;expensive;queen;string;men;life
79,Wildest Dreams,Taylor Swift,2016,babe;red;sunset;staring;nice;wildest;rosy;haa;handsome;hell;tall;nothing;night;bad;hindsight;last;clothes;hair;good;voice,wildest;familiar;red;last;last;nice;rosy;town;wildest;hindsight;nothing;haa;handsome;tall;babe;sunset;staring;voice;room;crowds,town;wildest;city;crowds;familiar;red;nice;rosy;heaven;wildest;nothing;staring;sunset;hell;haa;last;last;room;voice;end,babe;red;sunset;staring;nice;wildest;rosy;haa;handsome;hell;tall;nothing;bad;night;last;hindsight;clothes;hair;good;voice
80,Middle,DJ Snake,2016,time;children;middle;new;alright;problems;silence;carpet;air;causin;window;head;cold;soul;missin;pieces;hell;floatin;wishin;feelings,window;new;middle;different;gut;middle;time;causin;feelings;soul;cold;air;silence;pieces;missin;hell;problems;alright;head;wishin,window;different;time;new;middle;middle;floatin;wishin;problems;hell;gut;children;silence;air;feelings;soul;missin;pieces;head;carpet,time;children;middle;new;alright;silence;problems;air;carpet;causin;head;window;soul;cold;missin;pieces;hell;floatin;wishin;feelings
81,On My Mind,Ellie Goulding,2016,mind;somebody;heart;mad;mess;truth;whole;girl;fear;cute;alone;thought;understand;name;jealous;little;dangerous;hotel;tattoos;good,next;whole;fear;mind;somebody;little;dangerous;mad;heart;love;truth;cute;i;good;shame;name;girl;mess;jealous;hotel,whole;next;little;mind;somebody;mad;heart;hotel;love;truth;thought;mess;fear;dangerous;i;girl;name;understand;mi;shame,mind;somebody;heart;mad;mess;truth;love;whole;girl;little;cute;thought;jealous;hotel;next;tattoos;fear;alone;name;understand
82,Pop Style,Drake,2016,body;niggas;hard;hard;many;fuckin;boys;pop;man;birthday;rich;sound;lifestyle;shit;outta;number;big;problems;friend;gym,rock;body;way;family;hard;mvp;pop;number;hard;niggas;many;next;breeze;way;man;outta;body;real;work;lies,outta;sound;pop;niggas;shit;birthday;family;lifestyle;many;body;man;way;number;hard;tatum;boys;mvp;body;hard;way,body;niggas;boys;hard;hard;man;pop;many;birthday;fuckin;lifestyle;shit;rich;rock;sound;body;number;outta;hollywood;work
83,When We Were Young,Adele,2016,song;movie;case;old;light;god;young;restless;sad;last;everybody;way;cause;fears;nobody;true;dream;chance;alone;moment,song;last;movie;case;old;light;restless;everybody;young;god;true;chance;way;dream;alone;home;sad;moment;cause;mad,everybody;way;things;home;dream;chance;last;moment;song;movie;case;light;god;cause;night;someone;fears;nobody;everything;part,song;movie;case;old;light;god;young;restless;sad;last;everybody;way;cause;fears;nobody;true;dream;chance;alone;moment
84,Hide Away,Daya,2016,boys;girls;high;low;little;time;mother;demands;heart;superman;life;cause;anything;ones;money;chase;eyes;somebody;guessing;tonight,good;good;boys;low;little;second;demands;mother;high;time;heart;mr;eyes;cause;girls;chase;guessing;ones;anything;life,good;good;boys;second;low;little;girls;ones;anything;mother;demands;time;life;eyes;superman;mr;money;cause;heart;tonight,boys;girls;good;high;low;time;little;anything;mother;ones;good;second;money;chase;demands;things;heart;eyes;cause;superman
85,Lean On,Major Lazer,2016,kiss;gun;blow;somebody;someone;night;lean;wind;bold;warm;young;strong;waves;long;side;innocent;sidewalk;old,kiss;same;long;innocent;gun;waves;bold;warm;side;blow;nights;other;night;wind;young;someone;somebody;strong;sidewalk;old,kiss;innocent;gun;blow;someone;sidewalk;somebody;night;wind;long;same;waves;nights;side;lean,kiss;gun;blow;somebody;someone;night;lean;wind;bold;warm;young;strong;waves;long;side;innocent;sidewalk;old
86,I Know What You Did Last Summer,Shawn Mendes,2016,last;eyes;lover;pictures;phone;close;words;night;heart;time;skin;hands;bright;dirty,last;night;dirty;d;pictures;hands;lover;eyes;heart;time;phone;words;skin;other;close;bright,dirty;last;d;hands;lover;pictures;eyes;skin;words;phone;night;time;heart,last;eyes;lover;pictures;phone;close;words;night;heart;time;skin;hands;bright;dirty
87,All the Way Up,Fat Joe Remy Ma,2016,way;shorty;bitch;niggas;bottles;vs;weed;countin;leavin;v12;game;money;sleepin;big;himalayan;reckless;gold;hoes;uptown;bentley,naughty;way;chanel;color;ross;pac;himalayan;few;bitch;shorty;brown;few;vs;gold;champion;high;top;blue;nothin';bigger,way;nothin';naughty;shorty;ross;vs;bigger;few;big;high;bentley;o;few;bitch;niggas;helicopter;viagra;color;champion;uptown,way;shorty;bitch;niggas;bottles;vs;weed;countin;leavin;v12;game;money;sleepin;big;reckless;himalayan;uptown;gold;bentley;hoes
88,Watch Me,Silentó,2016,stanky;ooh;bop;bop;whip;whip;duff;gon;superman;duff;silent,bop;bop;duff;duff;stanky;whip;legs;whip;gon;superman;ooh;silent,whip;duff;whip;stanky;legs;gon;silent;ooh,ooh;stanky;whip;bop;bop;whip;legs;duff;gon;superman;silent;duff
89,Back to Sleep,Chris Brown,2016,sleep;fuck;job;sorry;baby;morning;word;love;job;late;work;door;spare;ready;gimme;rock;focus;town;asleep;bags,sleep;girl;same;girl;little;job;call;door;spare;work;morning;town;baby;fuck;focus;job;sorry;rock;landing;word,sleep;girl;girl;baby;town;focus;fuck;job;work;little;word;rock;morning;spare;job;landing;call;'bout;door;love,sleep;girl;fuck;sorry;job;word;baby;morning;call;love;rock;job;work;late;door;ready;spare;gimme;girl;focus
90,No Limit,Usher,2016,limit;fine;nigga;black;girl;night;bacardi;promise;karats;house;rari;nolia;lil;session;mama;thin;soldier;dime;crime;prima,limit;limit;wine;c;limit;decline;fine;baby;bacardi;ghetto;promise;rari;bad;starter;ain;master;shit;t;black;girl,limit;limit;limit;wine;decline;fine;baby;ghetto;master;black;girl;nigga;ain;rari;t;starter;cards;decline;bad;nolia,limit;limit;nigga;fine;black;baby;girl;bacardi;promise;night;karats;nolia;rari;soldier;session;thin;starter;dime;crime;house
91,Cut It,O.T. Genasis,2016,niggas;price;money;plug;high;hot;drugs;nigga;ex;young;side;numbers;playin;dubs;kitchen;time;baseball;commas;arm;lookin,niggas;dirty;rap;niggas;steady;dubs;trap;price;nigga;plug;la;money;small;drugs;side;ex;gucci;life;regular;rari,price;niggas;plug;dirty;steady;steady;side;ex;rap;regular;trap;good;money;dubs;rari;la;side;drugs;bitches;bands,niggas;price;money;plug;high;hot;drugs;side;ex;nigga;dubs;young;numbers;playin;lookin;kitchen;blood;love;cellular;tub
92,Really Really,Kevin Gates,2016,bitch;mind;ballin;diamonds;money;line;black;cellular;high;special;sorry;lyin;steve;careful;cheeks;cedric;white;carlo;groceries;fleek,white;replica;inseparable;cedric;swag;et;section;bad;lyrical;nobody;phone;fleek;black;money;legs;diamonds;vegetables;low;case;detective,diamonds;bad;line;daughter;bitch;love;money;white;groceries;fleek;lyrical;unique;cedric;swag;black;et;mind;necklaces;yo;low,bitch;mind;diamonds;ballin;money;line;bad;black;cellular;high;special;sorry;lyin;steve;careful;love;cedric;cheeks;white;carlo
93,All In My Head (Flex),Fifth Harmony,2016,flex;head;shy;thing;bed;baby;waves;cheek;tongue;body;roses;skin;lights;zoo;hopeless;throwin;bands;curtains;chill;different,flex;boo;baby;history;flex;baby;bad;thing;bed;head;roses;different;shy;skin;cheek;tongue;ay;waves;curtains;bands,flex;bed;thing;head;baby;boo;history;baby;ay;curtains;zoo;different;waves;throwin;bands;chill;groove;one;roses;thou,flex;head;shy;thing;bed;baby;flex;waves;body;cheek;tongue;roses;skin;hopeless;lights;zoo;curtains;throwin;bands;chill
94,Starving,Hailee Steinfeld,2016,things;body;way;yesterday;something;whole;faster;knees;butterflies;weak;disaster;younger;head;heart;feet,faster;whole;younger;way;younger;head;things;disaster;something;yesterday;body;heart;weak;butterflies;knees;feet,whole;things;way;younger;body;faster;yesterday;something;butterflies;head;disaster;knees;heart;feet,things;yesterday;way;body;younger;something;whole;younger;butterflies;faster;knees;weak;disaster;head;heart;feet
95,Adventure of a Lifetime,Coldplay,2016,heart;dream;alive;diamonds;day;magic;everything;weight;shape;pressure;umi;life;skin;gon;adventure;light;legends;way;sky,dream;diamonds;everything;pressure;weight;day;shape;heart;magic;umi;light;skin;gon;life;sky;adventure;way;legends;alive,dream;magic;everything;umi;day;pressure;diamonds;weight;heart;shape;light;skin;gon;legends;sky;life;way;adventure,heart;dream;alive;diamonds;day;magic;everything;weight;shape;pressure;umi;life;skin;gon;adventure;light;legends;way;sky
96,Humble and Kind,Tim McGraw,2016,kind;humble;front;dreams;dreamin;pride;pickup;someone;work;mountains;childhood;mat;grandpa;church;momma;difference;chance;hot;grudge;free,kind;kind;humble;root;front;hot;childhood;free;pickup;door;summer;ac;dreamin;mat;line;church;windows;grudge;one;momma,kind;front;door;childhood;mat;light;keys;pickup;hot;church;free;dreamin;line;summer;momma;chance;time;dreams;ac;grandpa,humble;kind;front;dreams;dreamin;door;pride;pickup;someone;mat;work;childhood;mountains;keys;church;grandpa;momma;chance;difference;kind
97,Wicked,Future,2016,bitch;motor;wicked;dashboard;woah;wicked;niggas;xannies;continental;green;graveyard;big;shit;panoramic;asparagus;complimentary;liter;game;drippin;money,wicked;wicked;wicked;dashboard;embarrassing;wicked;wicked;wicked;wicked;wizard;wicked;woah;big;lean;taliban;green;big;niggas;motor;wedding,wicked;wicked;dashboard;wicked;wizard;embarrassing;wicked;motor;lean;dashboard;niggas;big;corner;money;graveyard;bitch;taliban;asparagus;wedding;lortabs,bitch;motor;wicked;dashboard;wicked;wicked;woah;niggas;xannies;graveyard;continental;big;green;panoramic;complimentary;asparagus;shit;liter;money;drippin
98,Tiimmy Turner,Desiigner,2016,everybody;furnace;bet;soul;tiimmy;dead;burner;wishin;git;git;love;earner;beluga;semi;got;reload;money;dat;demon;dead,tiimmy;tiimmy;furnace;rules;tiimmy;tiimmy;wallet;burner;kill;tiimmy;everybody;furnace;young;dead;little;walkin;niggas;bet;soul;furnace,tiimmy;git;kill;tiimmy;everybody;little;furnace;git;walkin;soul;bet;bet;burner;young;wallet;grrrrraaaah;niggas;nigga;mulah;beluga,everybody;furnace;bet;soul;tiimmy;burner;wishin;dead;furnace;walkin;bet;wallet;git;git;love;nigga;beluga;young;earner;money
99,See You Again,Wiz Khalifa,2016,long;family;good;friendship;bond;road;long;line;friend;last;everything;laugh;side;strong;small;vibe;something;look;bigger;light,long;days;long;bigger;things;good;last;way;friendship;road;family;better;bond;line;everything;friend;small;strong;love;planes,long;long;last;friend;way;good;bigger;hard;road;things;family;memory;friendship;better;days;planes;vibe;bond;everything;laugh,long;family;good;long;friend;friendship;road;bond;way;line;last;everything;laugh;planes;side;something;look;things;vibe;strong
100,Perfect,One Direction,2016,perfect;baby;room;time;trouble;midnight;secret;windows;things;girl;places;promises;curious;good;one;sure;breakup;heart;arms;hands,perfect;secret;hotel;perfect;baby;one;time;'cause;curious;sure;trouble;breakup;room;promises;windows;arms;heart;girl;good;midnight,perfect;one;knight;armor;hotel;time;'cause;baby;room;trouble;promises;girl;mother;moment;breakup;heart;arms;windows;things;midnight,perfect;baby;room;time;trouble;hotel;midnight;secret;windows;curious;girl;things;places;one;promises;good;sure;breakup;heart;arms
1,Shape of You,Ed Sheeran,2017,love;body;baby;something;day;shape;lead;last;something;bed;room;handmade;heart;hours;magnet;somebody;shots;girl;crazy;drinking,something;love;brand;body;best;hand;something;bed;radio;first;day;shape;last;hours;plate;friends;sour;sweet;bar;lover,best;club;lover;bar;love;friends;something;body;table;shots;drinking;hand;something;brand;day;bed;last;shape;van;man,love;body;baby;day;something;shape;lead;last;something;bed;room;brand;handmade;heart;magnet;hours;somebody;shots;girl;crazy
2,Despacito (Remix),Luis Fonsi,2017,quiero;que;apuro;est;pasito;nos;ense;mi;pelo;sube;sube;para;bom;bailar;ritmo;manuscrito;poquito;tengo;ven;hasta,d;veo;esto;y;conmigo;poquito;y;ndolo;apuro;sube;d;despacito;mi;hasta;que;sabes;voy;nos;el;pasito,justin;comin;ft;direction;sube;blessin;conmigo;y;apuro;despacito;que;sube;que;darkest;only;nos;only;quiero;que;situation,quiero;que;apuro;est;pasito;nos;ense;mi;pelo;sube;sube;para;bailar;ritmo;cuello;ning;poquito;manuscrito;bom;esto
3,That's What I Like,Bruno Mars,2017,ice;manhattan;cadillac;bright;fire;night;smile;gold;sex;everything;paris;player;dinner;miles;anything;julio;lobster;karats;shopping;look,manhattan;cadillac;baby;bright;night;ice;girl;white;gold;lobster;shopping;baby;player;puerto;fleeko;lucky;beach;jammies;pop;jump,manhattan;cadillac;baby;girl;baby;pop;bright;player;hatnin;ice;condo;gold;white;night;player;lobster;lucky;beach;jump;miles,manhattan;ice;bright;cadillac;baby;player;condo;gold;pop;night;fire;lucky;smile;dinner;hatnin;julio;sex;miles;lobster;anything
4,Humble,Kendrick Lamar,2017,ayy;humble;bitch;nigga;funk;left;fuck;polo;photoshop;show;crazy;ted;shit;sick;tired;crime;finesse;couch;fuckin;obama,ayy;tetris;p;somethin';a;boo;left;realest;greatest;nigga;spiral;funk;mercedes;man;nigga;analysts;pussy;kool;syrup;richard,day;ayy;syrup;nobody;realest;nigga;nigga;waaaaay;boo;tetris;crime;p;bitch;a;finesse;counterfeits;kool;analysts;polo;shit,ayy;humble;bitch;nigga;funk;left;fuck;finesse;polo;crime;photoshop;show;ted;crazy;syrup;shit;sick;tired;couch;counterfeits
5,Something Just Like This,The Chainsmokers,2017,something;doo;somebody;gifts;fairytale;wanna;much;myths;old;legends;books;spiderman;control;eclipse;superman;testaments;batman;moon;gold;suit,superhuman;myths;fairytale;somebody;gold;gifts;something;wanna;myths;legends;old;books;testaments;moon;suit;spiderman;eclipse;superman;kind;batman,myths;superhuman;gold;fairytale;something;myths;gifts;somebody;legends;books;wanna;spiderman;testaments;control;batman;doo;moon;fists;eclipse;superman,something;doo;gifts;somebody;spiderman;myths;legends;old;fairytale;wanna;much;books;control;superhuman;gold;batman;fists;testaments;myths;eclipse
6,Bad and Boujee,Migos,2017,bitch;cookin;nigga;bad;dope;uzi;boujee;savage;cookie;dat;smokin;top;rackaids;hotbox;fuckin;thot;raindrop;ends;old;tissue,bad;whoo;way;yeah;dat;bitch;whole;thot;cookin;back;fat;dope;old;much;money;draco;way;loose;bad;savage,young;bad;bitch;thot;new;old;dat;dope;cookin;money;much;money;back;way;fat;whole;uzi;boujee;niggas;raindrop,bitch;cookin;nigga;bad;dope;boujee;uzi;savage;cookie;rackaids;dat;smokin;top;hotbox;ends;raindrop;fuckin;old;thot;tissue
7,Closer,The Chainsmokers,2017,older;tattoo;shoulder;bite;sheets;corner;mattress;roommate;boulder;rover;backseat;broke;car;baby;years;city;heart;hotel;song;death,hotel;car;broke;older;sheets;heart;roommate;city;friends;okay;mattress;bite;corner;shoulder;years;rover;song;blink;boulder;baby,friends;issue;hotel;broke;car;city;sheets;heart;years;roommate;bite;mattress;corner;shoulder;rover;baby;boulder;backseat;calls;tattoo,older;tattoo;shoulder;bite;sheets;corner;mattress;roommate;boulder;rover;backseat;broke;car;baby;years;city;heart;hotel;song;death
8,Body Like a Back Road,Sam Hunt,2017,back;curve;take;slow;eyes;body;hurry;man;braids;hair;thick;honey;heaven;highway;breeze;tall;lips;south;birds;walk,back;hand;hair;eyes;back;downtown;sweet;tall;blue;mile;hand;help;curve;hers;south;heaven;man;body;slow;hair,back;hand;south;first;back;braids;hair;sweet;girl;hand;man;downtown;curve;walk;eyes;help;mile;'bout;body;chair,back;curve;eyes;body;take;slow;back;man;braids;hair;hurry;walk;south;cadillac;chair;girl;number;thick;honey;heaven
9,Believer,Imagine Dragons,2017,believer;first;pain;love;veins;drive;life;bullets;blood;flowin;inhibited;way;spirit;ebbin;master;sea;open;future;ashes;cloud,believer;believer;last;third;pain;first;things;second;young;veins;sea;bullets;cloud;masses;way;spirit;rain;ashes;love;life,first;believer;last;third;believer;things;words;second;say;way;pain;head;bullets;grace;fire;prayer;ones;young;life;love,first;believer;pain;say;way;love;veins;words;drive;life;head;believer;bullets;master;sea;flowin;inhibited;blood;tired;spirit
10,Congratulations,Post Malone,2017,young;yah;nothing;baby;tv;momma;shit;super;dedication;people;everyone;ball;huncho;congratulations;vacation;border;top;big;post;pot,yah;old;big;young;super;top;ball;big;tv;everyone;yah;dough;momma;ball;last;bad;people;everything;huncho;nothing,yah;yah;mm;tv;momma;everything;shit;ball;dough;border;young;lighters;ball;huncho;big;nothing;eyes;baby;top;everyone,yah;young;nothing;tv;baby;momma;shit;everyone;dedication;ball;people;super;huncho;congratulations;vacation;border;top;post;last;everything
11,Say You Won't Let Go,James Arthur,2017,grey;old;minute;shoulder;night;love;weight;worth;kiss;kids;gold;school;bed;head;coffee;breakfast;older;lucky;dance;better,stone;minute;shoulder;lucky;night;vows;love;gold;weight;coffee;kiss;head;lungs;everyday;worth;more;death;old;grey;cool,night;cold;shoulder;minute;lucky;dark;stone;chest;hair;'cause;head;school;coffee;kiss;dance;love;kids;bed;weight;gold,grey;old;minute;shoulder;night;love;weight;worth;kiss;kids;gold;school;bed;head;coffee;breakfast;older;lucky;dance;better
